ADM_CD,ADM_NM,SGG_CD,AtRiskHouse,log_AtRisk
11010530,사직동,11010,1645,7.406
11010540,삼청동,11010,3847,8.255
11010550,부암동,11010,545,6.303
11010560,평창동,11010,491,6.198
11010570,무악동,11010,0,0
11010580,교남동,11010,0,0
11010600,가회동,11010,2915,7.978
11010610,종로1·2·3·4가동,11010,5916,8.686
11010630,종로5·6가동,11010,3946,8.281
11010640,이화동,11010,4763,8.469
11010670,창신1동,11010,2449,7.804
11010680,창신2동,11010,1632,7.398
11010690,창신3동,11010,0,0
11010700,숭인1동,11010,1017,6.926
11010710,숭인2동,11010,4648,8.444
11010720,청운효자동,11010,1693,7.435
11010730,혜화동,11010,1875,7.537
11020520,소공동,11020,77,4.357
11020540,회현동,11020,375,5.93
11020550,명동,11020,850,6.746
11020570,필동,11020,2859,7.959
11020580,장충동,11020,0,0
11020590,광희동,11020,3210,8.074
11020600,을지로동,11020,3210,8.074
11020650,신당5동,11020,4272,8.36
11020670,황학동,11020,6913,8.841
11020680,중림동,11020,0,0
11020690,신당동,11020,4596,8.433
11020700,다산동,11020,3457,8.148
11020710,약수동,11020,1083,6.988
11020720,청구동,11020,3245,8.085
11020730,동화동,11020,4074,8.313
11030510,후암동,11030,2175,7.685
11030520,용산2가동,11030,2464,7.81
11030530,남영동,11030,4843,8.485
11030570,원효로2동,11030,2422,7.793
11030580,효창동,11030,918,6.823
11030590,용문동,11030,1772,7.48
11030630,이촌1동,11030,10971,9.303
11030640,이촌2동,11030,0,0
11030650,이태원1동,11030,1381,7.231
11030660,이태원2동,11030,1051,6.958
11030690,서빙고동,11030,12683,9.448
11030700,보광동,11030,581,6.366
11030710,청파동,11030,0,0
11030720,원효로1동,11030,3978,8.289
11030730,한강로동,11030,14786,9.602
11030740,한남동,11030,2331,7.754
11040520,왕십리2동,11040,1016,6.925
11040540,마장동,11040,2330,7.754
11040550,사근동,11040,1554,7.349
11040560,행당1동,11040,5010,8.519
11040570,행당2동,11040,142,4.963
11040580,응봉동,11040,626,6.441
11040590,금호1가동,11040,1891,7.545
11040620,금호4가동,11040,3659,8.205
