FULL_NM,ADM_CD,KOSIS_CD,IM,OM,GM,POP,GM_Rate,TOT_HOUSE,SINGLE_HH,SINGLE_HH_R,Frgn_HH_R,NonHous_R,Youth_R,Elderly_R,
서울특별시 종로구 사직동,1111053000,11010530,1280,1290,2570,8918.5,28.82,3999,1754,43.86,3.10,14.79,19.75,21.71,
서울특별시 종로구 삼청동,1111054000,11010540,212,230,442,2164,20.43,928,355,38.25,3.19,5.07,17.18,28.01,
서울특별시 종로구 부암동,1111055000,11010550,978,989,1967,8977,21.91,3741,1242,33.20,3.05,31.79,20.86,21.56,
서울특별시 종로구 평창동,1111056000,11010560,1639,1727,3366,17151.5,19.63,6218,1454,23.38,1.81,19.12,16.70,23.51,
서울특별시 종로구 무악동,1111057000,11010570,711,803,1514,7756.5,19.52,2836,591,20.84,0.52,1.61,14.03,20.04,
서울특별시 종로구 교남동,1111058000,11010580,1159,1334,2493,9482.5,26.29,4004,1341,33.49,1.56,27.06,17.91,18.25,
서울특별시 종로구 가회동,1111060000,11010600,456,518,974,3698.5,26.34,1639,641,39.11,2.53,44.91,16.29,22.08,
서울특별시 종로구 종로1·2·3·4가동,1111061500,11010610,1659,1630,3289,6628,49.62,3958,2831,71.53,8.02,2.91,27.21,23.08,
서울특별시 종로구 종로5·6가동,1111063000,11010630,823,881,1704,5352,31.84,3045,1979,64.99,4.87,10.39,36.58,17.20,
서울특별시 종로구 이화동,1111064000,11010640,1386,1250,2636,7023,37.53,3793,2216,58.42,6.71,54.12,40.85,16.64,
서울특별시 종로구 창신1동,1111067000,11010670,608,611,1219,4455.5,27.36,2235,1130,50.56,15.97,10.32,26.79,23.06,
서울특별시 종로구 창신2동,1111068000,11010680,560,695,1255,7251,17.31,3394,1415,41.69,15.31,45.38,25.89,22.16,
서울특별시 종로구 창신3동,1111069000,11010690,594,710,1304,6177.5,21.11,2549,741,29.07,2.70,3.16,22.26,21.35,
서울특별시 종로구 숭인1동,1111070000,11010700,729,757,1486,5727,25.95,2713,1182,43.57,6.09,15.43,22.33,21.95,
서울특별시 종로구 숭인2동,1111071000,11010710,2141,1842,3983,10163,39.19,6214,4183,67.32,6.32,30.64,41.08,16.42,
서울특별시 종로구 청운효자동,1111051500,11010720,1017,1314,2331,10958,21.27,4537,1522,33.55,1.12,42.33,19.19,20.17,
서울특별시 종로구 혜화동,1111065000,11010730,2743,2767,5510,15744.5,35.00,8840,5202,58.85,15.13,42.88,44.11,12.94,
서울특별시 중구 소공동,1114052000,11020520,482,501,983,2176,45.17,1109,621,56.00,15.62,0.00,19.36,10.39,
서울특별시 중구 회현동,1114054000,11020540,620,672,1292,4194.5,30.80,2008,1009,50.25,8.41,4.30,17.32,28.68,
서울특별시 중구 명동,1114055000,11020550,430,470,900,2486,36.20,963,531,55.14,12.70,9.87,19.84,27.40,
